,0
Unnamed: 0,0.0
purpose,0.0
num_actv_bc_tl,0.0
num_bc_tl,0.0
num_il_tl,0.0
num_rev_accts,0.0
open_acc,0.0
pub_rec,0.0
pub_rec_bankruptcies,0.0
revol_bal,0.0
mort_acc,0.0
revol_util,0.0
sub_grade,0.0
target,0.0
tax_liens,0.0
zip_code,0.0
Pct_afro_american,0.0
Predictions,0.0
mths_since_recent_bc,0.0
mo_sin_rcnt_tl,0.0
issue_d,0.0
emp_length,0.0
loan duration,0.0
annual_inc,0.0
avg_cur_bal,0.0
bc_open_to_buy,0.0
bc_util,0.0
delinq_2yrs,0.0
dti,0.0
emp_title,0.0
mo_sin_rcnt_rev_tl_op,0.0
fico_range_high,0.0
funded_amnt,0.0
grade,0.0
home_ownership,0.0
inq_last_6mths,0.0
int_rate,0.0
mo_sin_old_rev_tl_op,0.0
Predicted probabilities,0.0
