sub_grade,accuracy
A1,0.9620126089226197
A2,0.9509799269207042
A3,0.9420552286102308
A4,0.9280575539568345
A5,0.9140497308605924
B1,0.89738933030647
B2,0.8842656273880483
B3,0.8706131504638968
B4,0.8518524044702407
B5,0.8370016261986205
C1,0.8117072052057505
C2,0.7901810658572314
C3,0.7660597055657474
C4,0.7383557820831069
C5,0.7201193480296466
D1,0.6963708069304737
D2,0.6711945861122008
D3,0.6417212881162725
D4,0.6240052225814474
D5,0.5984147952443857
E1,0.5799962131970084
E2,0.5692786715101193
E3,0.5530131938666349
E4,0.5421387123514783
E5,0.5407516580692705
F1,0.5370996842580064
F2,0.5415123456790123
F3,0.5372717107715244
F4,0.5471264367816092
F5,0.5482978134514254
G1,0.530196369025565
G2,0.534587995930824
G3,0.5356904603068713
G4,0.5734557595993323
G5,0.585820895522388
