group,pi_mean,pi_std,ci95_low,ci95_high
int_rate,0.052244461984716765,0.000647234166643713,0.051878254780783103,0.05261066918865043
loan duration,0.037903448127721534,0.0007187368534007903,0.03749678447024983,0.03831011178519324
funded_amnt,0.012768983988308438,0.0004414319180773967,0.012519220368312177,0.013018747608304699
issue_d,0.008493428955508614,0.00014225993740589035,0.008412937818615547,0.00857392009240168
dti,0.005569259680877486,0.00018149401387582565,0.005466569775465323,0.0056719495862896496
revol_bal,0.0051384056912501625,0.0002050544984099349,0.005022385186791753,0.005254426195708572
mo_sin_old_rev_tl_op,0.004728033571339839,0.0003117689146828685,0.004551633701859069,0.004904433440820608
avg_cur_bal,0.004600788540408703,0.0002886180395094887,0.0044374875116609935,0.004764089569156412
home_ownership,0.002932236503800987,0.00014090722967806998,0.002852510733355297,0.003011962274246677
mort_acc,0.0027243544491460103,0.00015045355921132925,0.002639227334293036,0.0028094815639989846
fico_range_high,0.0025859678458438617,0.00013232901672840847,0.0025110956562827114,0.002660840035405012
num_actv_bc_tl,0.0025505941308797873,0.00012515965494252031,0.0024797783896164972,0.0026214098721430773
emp_title,0.0023862953246980476,0.0001632875414892785,0.002293906700784583,0.002478683948611512
bc_open_to_buy,0.0017772393025067927,9.800610490226084e-05,0.0017217871284801968,0.0018326914765333887
inq_last_6mths,0.0016386560825029188,8.5473696370056e-05,0.0015902947861271923,0.0016870173788786453
mths_since_recent_bc,0.0014166687822139423,8.953147379891897e-05,0.0013660115821251676,0.001467325982302717
annual_inc,0.0008839848449265312,4.483388028994615e-05,0.0008586176891293996,0.0009093520007236628
zip_code,0.000756589509419601,7.316981726308608e-05,0.0007151897880000705,0.0007979892308391315
purpose,0.0004135080532454057,6.596915427726049e-05,0.0003761824904448212,0.0004508336160459902
grade,0.00032113309423669373,3.004319821359788e-05,0.0003041345546322745,0.000338131633841113
mo_sin_rcnt_tl,0.00026150912724647496,7.058995299873338e-05,0.00022156910144789126,0.0003014491530450587
Pct_afro_american,0.00020154239846420507,3.126861790194476e-05,0.00018385051240058723,0.00021923428452782291
pub_rec,0.0001524380518612145,3.504089964188535e-05,0.00013261179647714312,0.0001722643072452859
delinq_2yrs,7.677373821092977e-05,8.303634211934795e-06,7.207551487236728e-05,8.147196154949226e-05
num_il_tl,1.1716920055452698e-05,8.942357400676049e-06,6.657305052031942e-06,1.6776535058873455e-05
emp_length,0.0,0.0,0.0,0.0
pub_rec_bankruptcies,0.0,0.0,0.0,0.0
tax_liens,0.0,0.0,0.0,0.0
revol_util,0.0,0.0,0.0,0.0
num_rev_accts,0.0,0.0,0.0,0.0
num_bc_tl,0.0,0.0,0.0,0.0
bc_util,0.0,0.0,0.0,0.0
open_acc,-3.140491239469097e-07,7.342871564166918e-07,-7.295111936181784e-07,1.0141294572435896e-07
sub_grade,-5.2373181609055575e-06,1.2135651615764029e-05,-1.2103709453515379e-05,1.629073131704264e-06
mo_sin_rcnt_rev_tl_op,-6.362028698009281e-05,1.7982733315638002e-05,-7.379497618223069e-05,-5.344559777795493e-05
